Modelo,alta_renda,baixa_renda,media_renda,muito_baixa_renda,nenhuma_renda,accuracy,macro avg,weighted avg
Regressão Logística,0.5077226421294775,0.3147735708982925,0.3467153284671533,0.3215568862275449,0.41640770665009325,0.4073645652593021,0.3814352268745123,0.38233330702588086
Regressão Logística,0.7216254086875292,0.20642648490749757,0.1842870999030068,0.2591698841698842,0.6552567237163814,0.4073645652593021,0.4053531202768599,0.4073645652593021
Regressão Logística,0.5960648148148148,0.2493384298735666,0.24065864471184295,0.2870122928915019,0.5092152764582938,0.4073645652593021,0.376457891750004,0.3779244977928521
Regressão Logística,2141.0,2054.0,2062.0,2072.0,2045.0,0.4073645652593021,10374.0,10374.0
Random Forest,0.508383874420264,0.3213321332133213,0.3582329317269076,0.32433690088413214,0.4125896934116112,0.4038943512627723,0.38497510673124724,0.3858602625441968
Random Forest,0.6655768332554881,0.17380720545277506,0.2162948593598448,0.3363899613899614,0.6185819070904646,0.4038943512627723,0.4021301533097068,0.4038943512627723
Random Forest,0.5764563106796117,0.22559241706161137,0.2697308739038403,0.33025349443259894,0.49501076110350223,0.4038943512627723,0.3794087714362329,0.3807911215269254
Random Forest,2141.0,2054.0,2062.0,2072.0,2045.0,0.4038943512627723,10374.0,10374.0
Gradient Boosting,0.5140459686245895,0.32526881720430106,0.36016260162601627,0.3230142566191446,0.4194915254237288,0.40447272026219394,0.38839663389955603,0.38928817843860797
Gradient Boosting,0.6581036898645493,0.17672833495618306,0.2148399612027158,0.3827220077220077,0.5809290953545232,0.40447272026219394,0.40266461781999585,0.40447272026219394
Gradient Boosting,0.5772224498156493,0.22902208201892746,0.26913730255164037,0.3503423901038215,0.4871847447201148,0.40447272026219394,0.3825817938420307,0.38397994742928643
Gradient Boosting,2141.0,2054.0,2062.0,2072.0,2045.0,0.40447272026219394,10374.0,10374.0
